Session_ID,Flavor,Arm,Correct,CorrectBool
1,H,3,N,0
1,H,7,Y,1
1,H,4,N,0
1,H,1,N,0
1,H,3,N,0
1,H,2,N,0
1,C,3,Y,1
1,C,3,Y,1
1,C,1,N,0
1,C,7,N,0
1,C,3,Y,1
1,C,3,Y,1
1,H,2,N,0
1,C,8,N,0
1,C,3,Y,1
1,H,3,N,0
1,H,7,Y,1
1,H,2,N,0
1,C,3,Y,1
1,H,3,N,0
1,H,7,Y,1
1,C,3,Y,1
1,C,3,Y,1
1,C,7,N,0
1,H,3,N,0
1,C,3,Y,1
2,C,4,N,0
2,C,3,Y,1
2,C,3,Y,1
2,C,7,N,0
2,C,2,N,0
2,C,3,Y,1
2,H,3,N,0
2,H,2,N,0
2,H,3,N,0
2,H,7,Y,1
2,H,3,N,0
2,H,5,N,0
2,C,7,N,0
2,C,3,Y,1
2,H,2,N,0
2,H,7,Y,1
2,H,7,Y,1
2,H,7,Y,1
2,C,7,N,0
2,H,4,N,0
2,C,3,Y,1
2,C,3,Y,1
2,C,7,N,0
2,H,3,N,0
2,H,7,Y,1
2,C,3,Y,1
2,C,3,Y,1
2,H,7,Y,1
2,C,3,Y,1
2,H,7,Y,1
2,H,7,Y,1
2,H,3,N,0
2,H,7,Y,1
2,H,7,Y,1
2,C,7,N,0
2,C,3,Y,1
2,C,2,N,0
2,C,7,N,0
3,H,6,N,0
3,H,3,N,0
3,H,7,Y,1
3,H,3,N,0
3,H,7,Y,1
3,H,2,N,0
3,C,7,N,0
3,C,8,N,0
3,C,3,Y,1
3,C,2,N,0
3,C,7,N,0
3,C,4,N,0
3,H,3,N,0
3,C,7,N,0
3,H,7,Y,1
3,C,3,Y,1
3,C,7,N,0
3,H,3,N,0
3,C,7,N,0
3,C,3,Y,1
3,C,7,N,0
3,H,7,Y,1
3,C,3,Y,1
3,H,7,Y,1
3,C,3,Y,1
3,C,3,Y,1
3,C,3,Y,1
3,C,3,Y,1
3,H,3,N,0
3,H,3,N,0
3,C,3,Y,1
3,H,3,N,0
3,H,3,N,0
3,H,3,N,0
3,C,3,Y,1
3,H,3,N,0
3,C,3,Y,1
3,C,3,Y,1
3,H,7,Y,1
3,C,3,Y,1
3,H,3,N,0
3,H,3,N,0
3,C,3,Y,1
3,H,3,N,0
3,H,7,Y,1
3,C,3,Y,1
3,H,3,N,0
3,C,3,Y,1
3,H,3,N,0
3,H,3,N,0
4,C,3,Y,1
4,C,7,N,0
4,C,3,Y,1
4,C,3,Y,1
4,C,3,Y,1
4,C,3,Y,1
4,H,7,Y,1
4,H,3,N,0
4,H,3,N,0
4,H,3,N,0
4,H,8,N,0
4,H,3,N,0
4,C,3,Y,1
4,C,7,N,0
4,H,8,N,0
4,H,3,N,0
4,C,7,N,0
4,C,3,Y,1
4,C,3,Y,1
4,C,7,N,0
4,H,3,N,0
4,H,3,N,0
4,H,7,Y,1
4,C,3,Y,1
4,H,3,N,0
4,C,3,Y,1
4,C,3,Y,1
4,C,7,N,0
4,C,7,N,0
4,H,3,N,0
4,H,7,Y,1
4,C,3,Y,1
4,H,7,Y,1
4,C,3,Y,1
4,H,3,N,0
4,H,3,N,0
4,H,7,Y,1
4,C,3,Y,1
4,H,7,Y,1
4,C,3,Y,1
4,H,7,Y,1
4,H,7,Y,1
4,H,3,N,0
4,C,3,Y,1
4,H,7,Y,1
4,H,7,Y,1
4,H,7,Y,1
4,C,3,Y,1
4,C,7,N,0
4,C,3,Y,1
4,C,8,N,0
4,H,7,Y,1
4,C,3,Y,1
4,C,7,N,0
4,C,3,Y,1
4,H,7,Y,1
4,H,7,Y,1
4,H,3,N,0
4,H,7,Y,1
4,H,7,Y,1
4,H,7,Y,1
4,C,7,N,0
4,C,3,Y,1
4,C,7,N,0
4,C,7,N,0
4,C,3,Y,1
4,H,7,Y,1
4,H,7,Y,1
4,C,3,Y,1
4,H,7,Y,1
5,H,3,N,0
5,H,7,Y,1
5,H,7,Y,1
5,H,7,Y,1
5,H,7,Y,1
5,H,7,Y,1
5,C,3,Y,1
5,C,7,N,0
5,C,7,N,0
5,C,3,Y,1
5,C,7,N,0
5,C,3,Y,1
5,H,7,Y,1
5,H,7,Y,1
5,H,7,Y,1
5,C,7,N,0
5,H,7,Y,1
5,H,7,Y,1
5,H,7,Y,1
5,C,3,Y,1
5,H,7,Y,1
5,C,3,Y,1
5,C,7,N,0
5,C,3,Y,1
5,H,3,N,0
5,C,3,Y,1
5,C,7,N,0
5,C,3,Y,1
5,C,7,N,0
5,H,7,Y,1
5,H,7,Y,1
5,H,7,Y,1
5,C,7,N,0
5,H,7,Y,1
5,C,7,N,0
5,C,3,Y,1
5,H,7,Y,1
5,C,7,N,0
5,H,7,Y,1
5,H,7,Y,1
5,H,7,Y,1
5,C,7,N,0
5,H,7,Y,1
5,C,3,Y,1
5,H,7,Y,1
5,H,7,Y,1
5,C,3,Y,1
5,C,7,N,0
5,H,3,N,0
5,H,7,Y,1
5,C,7,N,0
5,C,3,Y,1
5,H,7,Y,1
5,H,7,Y,1
5,H,7,Y,1
5,H,7,Y,1
5,C,3,Y,1
5,C,7,N,0
5,C,7,N,0
5,H,7,Y,1
5,C,3,Y,1
5,H,3,N,0
5,C,3,Y,1
